"","profile_ID","ID","Author_year","Site_name","Country","Region","Longitude","Latitude","Altitude_masl","Mean_annual_rainfall_mm","Mean_annual_temperature_C","Climate_Köppen","Soil_type_WRB/FAO","Sand","Silt","Clay","Texture","pH","Depth_cm","Layer_deep","Initial_depth","Final_depth","Reference_depth","AFS_description","AFS_classification","AFS_crop_density_ha","AFS_tree_density_ha","Crop_species","Tree_species","Previous_land_use","Experimental_design","AFS_age_yrs","AFS_Stock_t_ha","AFS_SE_t_ha","Control_type","Control_Stock_ton_ha","Control_SE_t_ha","pH_flag","texture_flag","C_stocks_delta_t_ha","C_stocks_delta_procent"
"325","642549",325,"silva_2018","Fazenda Nossa Senhora Aparecida. Belterra - Pará","Brazil","South_America",-54.9369444444444,-2.63638888888889,175.74,1743,26.2,"Am","Ferralsols",NA,NA,NA,"loamy","5.26",20,"20-40",20,40,30,"PA: rice, maize, soy rotation and pasture + trees","silvopasture",NA,304,"soy, rice , maize + Brachiaria decumbens","cumaru and mahogany","forest","synchronic",6,28.02,12.8,"agriculture",42.51,16.72,1,1,-14.49,-34.0860973888497
"359","3209087",359,"alias_2022","Robledillo de Trujillo - Extremadura","Spain","Europe",5.98037222222222,39.2695638888889,784,517,16,"Csb","Cambisols",890,86,24,NA,NA,10,"0-10",0,10,5,"fallow area","fallow",NA,NA,"Daphne gnidium, Phillyrea angustifolia, Cistus ladanifer, Cytisus striatus, Cytisus multiflorus, and Ruscus aculeatus","holm oaks (Quercus ilex subsp. ballota) in ecotone areas, cork oaks (Quercus suber), and quejigos (Quercus faginea subsp. broteroi)","cropland","synchronic",60,28.04,7.1,"cropland",17.38,3.46,0,1,10.66,61.3348676639816
"360","3209087",360,"alias_2022","Robledillo de Trujillo - Extremadura","Spain","Europe",5.98037222222222,39.2695638888889,784,517,16,"Csb","Cambisols",890,86,24,NA,NA,10,"10-20",10,20,15,"fallow area","fallow",NA,NA,"Daphne gnidium, Phillyrea angustifolia, Cistus ladanifer, Cytisus striatus, Cytisus multiflorus, and Ruscus aculeatus","holm oaks (Quercus ilex subsp. ballota) in ecotone areas, cork oaks (Quercus suber), and quejigos (Quercus faginea subsp. broteroi)","cropland","synchronic",60,11.96,3.27,"cropland",11.78,0.37,0,1,0.180000000000001,1.52801358234297
"361","3209087",361,"alias_2022","Robledillo de Trujillo - Extremadura","Spain","Europe",5.98037222222222,39.2695638888889,784,517,16,"Csb","Cambisols",890,86,24,NA,NA,10,"20-30",20,30,25,"fallow area","fallow",NA,NA,"Daphne gnidium, Phillyrea angustifolia, Cistus ladanifer, Cytisus striatus, Cytisus multiflorus, and Ruscus aculeatus","holm oaks (Quercus ilex subsp. ballota) in ecotone areas, cork oaks (Quercus suber), and quejigos (Quercus faginea subsp. broteroi)","cropland","synchronic",60,10.28,1.96,"cropland",9.35,0.47,0,1,0.93,9.94652406417112
"365","1148410",365,"asigbaase_2021","Suhum - Eastern Region","Ghana","Africa",0.45,6.08,NA,1460,26.5,"Af","Ferralsols",NA,NA,NA,"loamy",NA,15,"0-15",0,15,7.5,"organic shaded cocoa","shaded perennial-crop",NA,NA,"organic cocoa","mix","forest","synchronic",15,36.06,2.33,"conventional shaded cocoa",28.67,1.94,0,1,7.39,25.7760725497035
"366","1148410",366,"asigbaase_2021","Suhum - Eastern Region","Ghana","Africa",0.45,6.08,NA,1460,26.5,"Af","Ferralsols",NA,NA,NA,"loamy",NA,15,"15-30",15,30,22.5,"organic shaded cocoa","shaded perennial-crop",NA,NA,"organic cocoa","mix","forest","synchronic",15,23.62,1.65,"conventional shaded cocoa",21.09,1.65,0,1,2.53,11.9962067330488
"398","767377",398,"dahal_2018","Chandanpur . Lalitpur","Nepal","Asia",85.4138944444444,27.4767111111111,1475,NA,NA,"Cwc",NA,NA,NA,NA,"loam","6.1",15,"0-15",0,15,7.5,"Arabica coffe with cereal crops and vegetables","alley cropping",NA,1840,"cereal crops and vegetables","Coffee, (Coffea arabica)","plantation","diachronic",8,10.19,7.92,"Arabica coffe with cereal crops and vegetables (6 years)",6.95,5.12,1,1,3.24,46.6187050359712
"399","767551",399,"dahal_2018","Chandanpur . Lalitpur","Nepal","Asia",85.4138944444444,27.4767111111111,1475,NA,NA,"Cwc",NA,NA,NA,NA,"loam","6.1",15,"0-15",0,15,7.5,"Arabica coffe with cereal crops and vegetables with biochar","alley cropping",NA,1840,"cereal crops and vegetables","Coffee, (Coffea arabica)","plantation","diachronic",8,12.22,5.18,"Arabica coffe with cereal crops and vegetables with biochar (6 years)",7.57,3.01,1,1,4.65,61.4266842800528
"400","767377",400,"dahal_2018","Panchkhal . Kavrepalanchok","Nepal","Asia",85.6059222222222,27.6300222222222,1075,NA,NA,"Cwc",NA,NA,NA,NA,"silt loam","5.8",15,"0-15",0,15,7.5,"Arabica coffe with cereal crops and vegetables","alley cropping",NA,2097,"cereal crops and vegetables","Coffee, (Coffea arabica)","plantation","diachronic",8,3.5,1.12,"Arabica coffe with cereal crops and vegetables (6 years)",3.27,1.48,1,1,0.23,7.03363914373089
"401","767551",401,"dahal_2018","Panchkhal . Kavrepalanchok","Nepal","Asia",85.6059222222222,27.6300222222222,1075,NA,NA,"Cwc",NA,NA,NA,NA,"silt loam","5.8",15,"0-15",0,15,7.5,"Arabica coffe with cereal crops and vegetables with biochar","alley cropping",NA,2097,"cereal crops and vegetables","Coffee, (Coffea arabica)","plantation","diachronic",8,4.58,2.76,"Arabica coffe with cereal crops and vegetables with biochar (6 years)",3.56,2.8,1,1,1.02,28.6516853932584
"402","767377",402,"dahal_2018","Talamarang . Sindhupalchok","Nepal","Asia",85.5453194444444,27.8544166666667,821,NA,NA,"Cwc",NA,NA,NA,NA,"sandy silt loam","5.2",15,"0-15",0,15,7.5,"Arabica coffe with cereal crops and vegetables","alley cropping",NA,2104,"cereal crops and vegetables","Coffee, (Coffea arabica)","plantation","diachronic",8,6.59,5.07,"Arabica coffe with cereal crops and vegetables (6 years)",6.58,4.23,1,1,0.00999999999999979,0.151975683890574
"403","767551",403,"dahal_2018","Talamarang . Sindhupalchok","Nepal","Asia",85.5453194444444,27.8544166666667,821,NA,NA,"Cwc",NA,NA,NA,NA,"sandy silt loam","5.2",15,"0-15",0,15,7.5,"Arabica coffe with cereal crops and vegetables with biochar","alley cropping",NA,2104,"cereal crops and vegetables","Coffee, (Coffea arabica)","plantation","diachronic",8,10.47,7.83,"Arabica coffe with cereal crops and vegetables with biochar (6 years)",7.43,6.99,1,1,3.04,40.9152086137281
"457","2602437",457,"marcal_2021","Fazenda da Toca . Itirapina - São Paulo","Brazil","South_America",-47.74,-22.2,800,NA,NA,"Cwa","Arenosols",937,50,13,NA,NA,5,"0-5",0,5,2.5,"Forest: natural regeneration","fallow",NA,NA,"spontaneous vegetation","Atlantic Forest and Cerrado biomes","grassland","synchronic",35,5.17241379310344,4.39655172413794,"pasture",2.41379310344827,0.77586206896552,0,1,2.75862068965517,114.285714285714
