"","latitude","longitude","authoryear"
"386",9.89555555555556,-83.6686111111111,"chatterjee_2019"
"387",9.89555555555556,-83.6686111111111,"chatterjee_2019"
"388",9.89555555555556,-83.6686111111111,"chatterjee_2019"
"389",9.89555555555556,-83.6686111111111,"chatterjee_2019"
"390",9.89555555555556,-83.6686111111111,"chatterjee_2019"
"391",9.89555555555556,-83.6686111111111,"chatterjee_2019"
"392",27.4767111111111,85.4138944444444,"dahal_2018"
"393",27.4767111111111,85.4138944444444,"dahal_2018"
"394",27.6300222222222,85.6059222222222,"dahal_2018"
"395",27.6300222222222,85.6059222222222,"dahal_2018"
"396",8.89,36.45,"deressa_2020"
"397",8.89,36.45,"deressa_2020"
"398",8.89,36.45,"deressa_2020"
"399",8.89,36.45,"deressa_2020"
"400",8.89,36.45,"deressa_2020"
"401",8.89,36.45,"deressa_2020"
"402",8.89,36.45,"deressa_2020"
"403",8.89,36.45,"deressa_2020"
"404",8.89,36.45,"deressa_2020"
"405",8.89,36.45,"deressa_2020"
"406",8.89,36.45,"deressa_2020"
"407",41.501252,-93.860501,"eddy_2022"
"408",41.501252,-93.860501,"eddy_2022"
"409",41.501252,-93.860501,"eddy_2022"
"410",41.501252,-93.860501,"eddy_2022"
"411",41.501252,-93.860501,"eddy_2022"
"412",41.501252,-93.860501,"eddy_2022"
"413",41.501252,-93.860501,"eddy_2022"
"414",41.501252,-93.860501,"eddy_2022"
"415",41.501252,-93.860501,"eddy_2022"
"416",41.501252,-93.860501,"eddy_2022"
"417",41.501252,-93.860501,"eddy_2022"
"418",41.501252,-93.860501,"eddy_2022"
"419",41.501252,-93.860501,"eddy_2022"
"420",41.501252,-93.860501,"eddy_2022"
"421",41.501252,-93.860501,"eddy_2022"
"422",41.501252,-93.860501,"eddy_2022"
"423",41.501252,-93.860501,"eddy_2022"
"424",41.501252,-93.860501,"eddy_2022"
"425",41.501252,-93.860501,"eddy_2022"
"426",41.501252,-93.860501,"eddy_2022"
"427",14.4,39.4,"gebremeskel_2021"
"428",14.4,39.4,"gebremeskel_2021"
"429",14.4,39.4,"gebremeskel_2021"
"430",14.4,39.4,"gebremeskel_2021"
"431",14.4,39.4,"gebremeskel_2021"
"432",14.4,39.4,"gebremeskel_2021"
"433",-2.425,111.79,"hairiah_2020"
"434",-2.425,111.79,"hairiah_2020"
"435",24.66,92.66,"kalita_2020"
"436",24.66,92.66,"kalita_2020"
"437",24.66,92.66,"kalita_2020"
"438",24.66,92.66,"kalita_2020"
"439",-22.2,-47.74,"marcal_2021"
"440",-22.2,-47.74,"marcal_2021"
"441",-22.2,-47.74,"marcal_2021"
"442",-22.2,-47.74,"marcal_2021"
"443",-22.2,-47.74,"marcal_2021"
"444",-22.2,-47.74,"marcal_2021"
"445",-22.2,-47.74,"marcal_2021"
"446",-22.2,-47.74,"marcal_2021"
"447",-22.2,-47.74,"marcal_2021"
"448",-22.2,-47.74,"marcal_2021"
"449",-22.2,-47.74,"marcal_2021"
"450",-22.2,-47.74,"marcal_2021"
"451",-14.568023,-39.178739,"monroe_2022"
"452",-14.568023,-39.178739,"monroe_2022"
"453",-14.568023,-39.178739,"monroe_2022"
"454",-14.568023,-39.178739,"monroe_2022"
"455",-14.568023,-39.178739,"monroe_2022"
"456",-14.568023,-39.178739,"monroe_2022"
"457",-14.568023,-39.178739,"monroe_2022"
"458",-14.568023,-39.178739,"monroe_2022"
"459",-14.568023,-39.178739,"monroe_2022"
"460",-14.568023,-39.178739,"monroe_2022"
"461",-14.568023,-39.178739,"monroe_2022"
"462",-14.568023,-39.178739,"monroe_2022"
"463",-14.568023,-39.178739,"monroe_2022"
"464",-14.568023,-39.178739,"monroe_2022"
"465",-14.568023,-39.178739,"monroe_2022"
"466",-14.568023,-39.178739,"monroe_2022"
"467",-14.568023,-39.178739,"monroe_2022"
"468",-14.568023,-39.178739,"monroe_2022"
"469",-14.568023,-39.178739,"monroe_2022"
"470",-14.568023,-39.178739,"monroe_2022"
"471",-14.568023,-39.178739,"monroe_2022"
"472",-14.568023,-39.178739,"monroe_2022"
"473",31.576025,75.912274,"pandher_2020"
"474",31.576025,75.912274,"pandher_2020"
"475",31.576025,75.912274,"pandher_2020"
"476",31.576025,75.912274,"pandher_2020"
"477",31.576025,75.912274,"pandher_2020"
"478",31.576025,75.912274,"pandher_2020"
"479",31.576025,75.912274,"pandher_2020"
"480",31.576025,75.912274,"pandher_2020"
"481",31.576025,75.912274,"pandher_2020"
"482",31.576025,75.912274,"pandher_2020"
"483",31.576025,75.912274,"pandher_2020"
"484",31.576025,75.912274,"pandher_2020"
"485",31.576025,75.912274,"pandher_2020"
"486",31.576025,75.912274,"pandher_2020"
"487",31.576025,75.912274,"pandher_2020"
"488",25.51,78.54,"singh_2021"
"489",25.51,78.54,"singh_2021"
"490",25.51,78.54,"singh_2021"
"491",25.51,78.54,"singh_2021"
"492",25.51,78.54,"singh_2021"
"493",25.51,78.54,"singh_2021"
"494",25.51,78.54,"singh_2021"
"495",25.51,78.54,"singh_2021"
"496",25.51,78.54,"singh_2021"
"497",25.51,78.54,"singh_2021"
"498",25.51,78.54,"singh_2021"
"499",25.51,78.54,"singh_2021"
"500",25.51,78.54,"singh_2021"
"501",-21.2166666666667,-48.9166666666667,"siqueira_2019"
"502",-21.2166666666667,-48.9166666666667,"siqueira_2019"
"503",-21.2166666666667,-48.9166666666667,"siqueira_2019"
"504",-21.2166666666667,-48.9166666666667,"siqueira_2019"
"505",-21.2166666666667,-48.9166666666667,"siqueira_2019"
"506",-21.2166666666667,-48.9166666666667,"siqueira_2019"
"507",-21.2166666666667,-48.9166666666667,"siqueira_2019"
"508",-21.2166666666667,-48.9166666666667,"siqueira_2019"
"509",-21.2166666666667,-48.9166666666667,"siqueira_2019"
"510",-21.2166666666667,-48.9166666666667,"siqueira_2019"
"511",-21.2166666666667,-48.9166666666667,"siqueira_2019"
"512",-21.2166666666667,-48.9166666666667,"siqueira_2019"
"513",-21.2166666666667,-48.9166666666667,"siqueira_2019"
"514",-21.2166666666667,-48.9166666666667,"siqueira_2019"
"515",-21.2166666666667,-48.9166666666667,"siqueira_2019"
"516",-21.2166666666667,-48.9166666666667,"siqueira_2019"
"517",-21.2166666666667,-48.9166666666667,"siqueira_2019"
"518",-21.2166666666667,-48.9166666666667,"siqueira_2019"
"519",-21.2166666666667,-48.9166666666667,"siqueira_2019"
"520",-21.2166666666667,-48.9166666666667,"siqueira_2019"
"521",-21.2166666666667,-48.9166666666667,"siqueira_2019"
"522",-21.2166666666667,-48.9166666666667,"siqueira_2019"
"523",-21.2166666666667,-48.9166666666667,"siqueira_2019"
"524",-21.2166666666667,-48.9166666666667,"siqueira_2019"
"525",32.6,51.34,"surki_2020"
"526",32.6,51.34,"surki_2020"
"527",32.6,51.34,"surki_2020"
"528",31.38,73.42,"yasin_2021"
"529",31.38,73.42,"yasin_2021"
"530",31.38,73.42,"yasin_2021"
"531",31.38,73.42,"yasin_2021"
"532",31.38,73.42,"yasin_2021"
"533",31.38,73.42,"yasin_2021"
"534",13.2666667,30.4833333333333,"abaker_2016"
"535",13.2666667,30.4833333333333,"abaker_2016"
"536",13.3166667,30.1666666666666,"abaker_2016"
"537",13.3166667,30.1666666666666,"abaker_2016"
"538",13.3166667,30.1666666666666,"abaker_2016"
"539",11.399769,76.670509,"adhikary_2017"
"540",11.399769,76.670509,"adhikary_2017"
"541",11.399769,76.670509,"adhikary_2017"
"542",11.399769,76.670509,"adhikary_2017"
"543",-5.75,-76.08333333,"alegre&rao_1996"
"544",46.45,-72.9833333333333,"bambrick_2010"
"545",46.3333333,-73.1833333333333,"bambrick_2010"
"546",45.25,-73.6666666666666,"bambrick_2010"
"547",43.5411111,-80.2088888888889,"bambrick_2010"
"548",43.5411111,-80.2088888888889,"bambrick_2010"
"549",11.701321,-3.434516,"baumert_2016"
"550",11.701321,-3.434516,"baumert_2016"
"551",11.701321,-3.434516,"baumert_2016"
"552",11.701321,-3.434516,"baumert_2016"
