"","profile_ID","ID","old_number","First_Author","Year_of_publication","Site_name","Country","Region","Longitude","Latitude","Altitude_masl","Mean_annual_rainfall_mm","Mean_annual_temperature_C","Climate_Köppen","Soil_type","Soil_type_WRB/FAO","Sand","Silt","Clay","Texture","pH","Depth_cm","Layer_deep","Initial_depth","Final_depth","Reference_depth","AFS_description","AFS_classification","AFS_crop_density_ha","AFS_tree_density_ha","Crop_species","Tree_species","Previous_land_use","Experimental_design","AFS_age_yrs","AFS_Stock_t_ha","AFS_SE_t_ha","Tree_Row_Stock_t_ha","Tree_Row_SE_t_ha","Alley_Stock_t_ha","Alley_SE_t_ha","Control_type","Control_Stock_ton_ha","Control_SE_t_ha","Tree_Row_Control_Stock_t_ha","Tree_Row_Control_SE_t_ha","Alley_Control_Stock_t_ha","Alley_Control_SE_t_ha","SOC_Storage_rate_t_ha_yr","SOC_Storage_rate_SE_t_ha_yr","pH_flag","texture_flag","C_stocks_delta_t_ha","C_stocks_delta_procent","dataset_stocks_delta","dataset_stocks_delta_ratio","dataset_stocks_delta","dataset_stocks_delta_ratio"
"21","157",21,73,"iwata","2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Typic Hapludult","Acrisol",NA,NA,NA,NA,NA,10,"10-20",10,20,15,"NO FIRE + Gliricidia sepium plants and bio-compost organic residues","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,3.16,NA,NA,NA,NA,NA,"NO FIRE + Gliricidia sepium plants",3.22,NA,NA,NA,NA,NA,NA,NA,0,0,-0.0600000000000001,-1.86335403726708,-0.0600000000000001,-1.86335403726708,-0.0600000000000001,-1.86335403726708
"22","157",22,73,"iwata","2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Typic Hapludult","Acrisol",NA,NA,NA,NA,NA,20,"20-40",20,40,30,"NO FIRE + Gliricidia sepium plants and bio-compost organic residues","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,3.18,NA,NA,NA,NA,NA,"NO FIRE + Gliricidia sepium plants",3.07,NA,NA,NA,NA,NA,NA,NA,0,0,0.11,3.58306188925082,0.11,3.58306188925082,0.11,3.58306188925082
"23","158",23,73,"iwata","2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Typic Hapludult","Acrisol",NA,NA,NA,NA,NA,10,"0-10",0,10,5,"NO FIRE + Gliricidia sepium plants and carnauba processing residue","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,1.5,NA,NA,NA,NA,NA,"NO FIRE + Gliricidia sepium plants",1.6,NA,NA,NA,NA,NA,NA,NA,0,0,-0.1,-6.25000000000001,-0.1,-6.25000000000001,-0.1,-6.25000000000001
"24","158",24,73,"iwata","2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Typic Hapludult","Acrisol",NA,NA,NA,NA,NA,10,"10-20",10,20,15,"NO FIRE + Gliricidia sepium plants and carnauba processing residue","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,3.16,NA,NA,NA,NA,NA,"NO FIRE + Gliricidia sepium plants",3.22,NA,NA,NA,NA,NA,NA,NA,0,0,-0.0600000000000001,-1.86335403726708,-0.0600000000000001,-1.86335403726708,-0.0600000000000001,-1.86335403726708
"25","158",25,73,"iwata","2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Typic Hapludult","Acrisol",NA,NA,NA,NA,NA,20,"20-40",20,40,30,"NO FIRE + Gliricidia sepium plants and carnauba processing residue","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,3.25,NA,NA,NA,NA,NA,"NO FIRE + Gliricidia sepium plants",3.07,NA,NA,NA,NA,NA,NA,NA,0,0,0.18,5.86319218241043,0.18,5.86319218241043,0.18,5.86319218241043
"26","159",26,73,"iwata","2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Typic Hapludult","Acrisol",NA,NA,NA,NA,NA,10,"0-10",0,10,5,"NO FIRE + Gliricidia sepium plants, carnauba processing residue and bio-compost organic residue","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,1.51,NA,NA,NA,NA,NA,"NO FIRE + Gliricidia sepium plants",1.6,NA,NA,NA,NA,NA,NA,NA,0,0,-0.0900000000000001,-5.625,-0.0900000000000001,-5.625,-0.0900000000000001,-5.625
"27","159",27,73,"iwata","2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Typic Hapludult","Acrisol",NA,NA,NA,NA,NA,10,"10-20",10,20,15,"NO FIRE + Gliricidia sepium plants, carnauba processing residue and bio-compost organic residue","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,3.07,NA,NA,NA,NA,NA,"NO FIRE + Gliricidia sepium plants",3.22,NA,NA,NA,NA,NA,NA,NA,0,0,-0.15,-4.65838509316771,-0.15,-4.65838509316771,-0.15,-4.65838509316771
"28","159",28,73,"iwata","2021","Bela Cruz - Ceará","Brazil","South_America",-40.22,-3.01,50,1097,24,"Bsh","Typic Hapludult","Acrisol",NA,NA,NA,NA,NA,20,"20-40",20,40,30,"NO FIRE + Gliricidia sepium plants, carnauba processing residue and bio-compost organic residue","silvoarable",NA,NA,"maize (Zea mays L.) and cowpea (Vigna unguiculata L. Walp)","Gliciridia sepium (Jacq.) Steud. + cashew (Anacardium occidental L.)","shrubland","synchronic",6,2.9,NA,NA,NA,NA,NA,"NO FIRE + Gliricidia sepium plants",3.07,NA,NA,NA,NA,NA,NA,NA,0,0,-0.17,-5.53745928338762,-0.17,-5.53745928338762,-0.17,-5.53745928338762
"29","136",29,74,"loss","2009","Sistema Integrado de Produção Agroecológica (SIPA). Embrapa Agrobiologia, Seropédica - RJ","Brazil","South_America",-43.68,-22.75,33,1213,23.9,"Aw","Argissolo Vermelho-Amarelo","Acrisol",784,168,48,NA,NA,5,"0-5",0,5,2.5,"SAF: fruit and shaded trees - summer","shaded perennial-crop",NA,NA,"fruit trees","shaded trees","forest","synchronic",5,6.2304,NA,NA,NA,NA,NA,"crop: maize / beans - summer",6.3042,NA,NA,NA,NA,NA,NA,NA,0,1,-0.0738000000000012,-1.1706481393357,-0.0738000000000012,-1.1706481393357,-0.0738000000000012,-1.1706481393357
"30","136",30,74,"loss","2009","Sistema Integrado de Produção Agroecológica (SIPA). Embrapa Agrobiologia, Seropédica - RJ","Brazil","South_America",-43.68,-22.75,33,1213,23.9,"Aw","Argissolo Vermelho-Amarelo","Acrisol",770,168,62,NA,NA,5,"5-10",5,10,7.5,"SAF: fruit and shaded trees - summer","shaded perennial-crop",NA,NA,"fruit trees","shaded trees","forest","synchronic",5,4.7168,NA,NA,NA,NA,NA,"crop: maize / beans - summer",6.35635,NA,NA,NA,NA,NA,NA,NA,0,1,-1.63955,-25.7938911482218,-1.63955,-25.7938911482218,-1.63955,-25.7938911482218
